time,speed,accel,event_type,event_id,seq,s_s_num,trip_event_id,driver_id,trip_id
29.000000,0.303819,0.017400,stop,1,1,0,1,0007,00064
30.000000,0.217014,0.020300,stop,1,2,0,1,0007,00064
31.000000,0.321181,0.023200,stop,1,3,0,1,0007,00064
32.000000,0.329861,0.008700,stop,1,4,0,1,0007,00064
33.000000,0.277778,0.002900,stop,1,5,0,1,0007,00064
34.000000,0.342882,0.000000,stop,1,6,0,1,0007,00064
35.000000,0.360243,0.000000,stop,1,7,0,1,0007,00064
36.000000,0.308160,0.000000,stop,1,8,0,1,0007,00064
37.000000,0.377604,0.000000,stop,1,9,0,1,0007,00064
38.000000,0.698785,0.014500,stop,1,10,0,1,0007,00064
39.000000,0.664063,0.020300,stop,1,11,0,1,0007,00064
40.000000,0.720486,0.011600,stop,1,12,0,1,0007,00064
41.000000,0.677083,0.014500,stop,1,13,0,1,0007,00064
42.000000,0.690104,0.011600,stop,1,14,0,1,0007,00064
43.000000,0.659722,0.008700,stop,1,15,0,1,0007,00064
44.000000,0.711806,0.008700,stop,1,16,0,1,0007,00064
45.000000,0.716146,-0.005800,stop,1,17,0,1,0007,00064
46.000000,0.755208,-0.017400,stop,1,18,0,1,0007,00064
47.000000,0.737847,-0.014500,stop,1,19,0,1,0007,00064
48.000000,0.681424,-0.026100,stop,1,20,0,1,0007,00064
49.000000,0.651042,-0.014500,stop,1,21,0,1,0007,00064
50.000000,0.551215,-0.017400,stop,1,22,0,1,0007,00064
51.000000,0.525174,-0.020300,stop,1,23,0,1,0007,00064
52.000000,0.438368,-0.023200,stop,1,24,0,1,0007,00064
53.000000,0.399306,-0.023200,stop,1,25,0,1,0007,00064
54.000000,0.394965,-0.005800,stop,1,26,0,1,0007,00064
55.000000,0.282118,0.002900,stop,1,27,0,1,0007,00064
56.000000,0.190972,0.014500,stop,1,28,0,1,0007,00064
57.000000,0.160590,0.026100,stop,1,29,0,1,0007,00064
58.000000,0.247396,0.023200,stop,1,30,0,1,0007,00064
59.000000,0.212674,0.023200,stop,1,31,0,1,0007,00064
60.000000,0.316840,0.017400,stop,1,32,0,1,0007,00064
61.000000,0.277778,0.020300,stop,1,33,0,1,0007,00064
62.000000,0.338542,0.014500,stop,1,34,0,1,0007,00064
63.000000,0.351563,0.011600,stop,1,35,0,1,0007,00064
64.000000,0.577257,0.014500,stop,1,36,0,1,0007,00064
65.000000,0.564236,0.014500,stop,1,37,0,1,0007,00064
66.000000,0.616319,0.017400,stop,1,38,0,1,0007,00064
67.000000,0.529514,0.008700,stop,1,39,0,1,0007,00064
68.000000,0.477431,-0.023200,stop,1,40,0,1,0007,00064
69.000000,0.655382,-0.055100,stop,1,41,0,1,0007,00064
70.000000,0.507813,-0.063800,stop,1,42,0,1,0007,00064
71.000000,0.403646,-0.034800,stop,1,43,0,1,0007,00064
72.000000,0.355903,0.000000,stop,1,44,0,1,0007,00064
73.000000,0.290799,0.000000,stop,1,45,0,1,0007,00064
74.000000,0.177951,0.000000,stop,1,46,0,1,0007,00064
